,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
3089,General debate,A_63_PV.10_E, 2008-09-25 ,Balkenende,Netherlands,Jan Peter  Balkenende,NLD,Prime Minister and Minister for General Affairs of the Kingdom of the Netherlands 
3090,General debate,A_63_PV.10_E, 2008-09-25 ,Douglas,Saint Kitts and Nevis,Denzil  Douglas,KNA,Prime Minister and Minister for Foreign Affairs
3091,General debate,A_63_PV.10_E, 2008-09-25 ,Stoltenberg,Norway,Jens  Stoltenberg,NOR,Prime Minister of the Kingdom of Norway 
3092,General debate,A_63_PV.10_E, 2008-09-25 ,Stolfi,San Marino,Fiorenzo  Stolfi,SMR,Head of Government and Minister for Foreign Affairs and Political Affairs and Economic Planning of the Republic of San Marino 
3093,General debate,A_63_PV.10_E, 2008-09-25 ,Pintat-Santolària,Andorra,Albert  Pintat-Santolària,AND,Chief of the Government of the Principality of Andorra 
3094,General debate,A_63_PV.10_E, 2008-09-25 ,Rudd,Australia,Kevin   Rudd,AUS,Prime Minister of Australia 
3095,General debate,A_63_PV.10_E, 2008-09-25 ,Haji Al-Muhtadee Billah,Brunei Darussalam,Crown Prince of Brunei Darussalam  Haji Al-Muhtadee Billah,BRN,Crown Prince of Brunei Darussalam 
3096,General debate,A_63_PV.10_E, 2008-09-25 ,Han,Republic of Korea,Seung Soo  Han,KOR,Prime Minister of the Republic of Korea 
3097,General debate,A_63_PV.10_E, 2008-09-25 ,Al-Sabah,Kuwait,Nasser Al-Mohammad Al-Ahmad  Al-Sabah,KWT,Prime Minister of the State of Kuwait 
3098,General debate,A_63_PV.10_E, 2008-09-25 ,Aso,Japan,Taro   Aso,JPN,Prime Minister of Japan 
3099,General debate,A_63_PV.10_E, 2008-09-25 ,Rodríguez Zapatero,Spain,José Luis  Rodríguez Zapatero,ESP,President of the Government of the Kingdom of Spain 
3100,General debate,A_63_PV.10_E, 2008-09-25 ,Taha,Sudan,Ali Osman  Taha,SDN,Vice-President of the Republic of the Sudan 
3101,General debate,A_63_PV.10_E, 2008-09-25 ,Zardari,Pakistan,Asif Ali   Zardari,PAK,President of the Islamic Republic of Pakistan 
3102,General debate,A_63_PV.10_E, 2008-09-25 ,Biya,Cameroon,Paul  Biya,CMR,President of the Republic of Cameroon 
3103,General debate,A_63_PV.10_E, 2008-09-25 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe,ZWE,President of the Republic of Zimbabwe 
3104,General debate,A_63_PV.10_E, 2008-09-25 ,Ramos-Horta,Timor-Leste,José  Ramos-Horta,TLS,President of the Democratic Republic of Timor-Leste 
3105,General debate,A_63_PV.10_E, 2008-09-25 ,Mswati III,Swaziland,1968-   King of Swaziland Mswati III,SWZ,Head of State of the Kingdom of Swaziland 
3106,General debate,A_63_PV.10_E, 2008-09-25 ,Vieira,Guinea-Bissau,Joao Bernardo  Vieira,GNB,President of 
3107,General debate,A_63_PV.10_E, 2008-09-25 ,Mori,Micronesia,Emanuel  Mori,FSM,President of the Federated States of Micronesia 
3073,General debate,A_63_PV.11_E, 2008-09-26 ,Santos López,Nicaragua,Samuel  Santos López,NIC,Minister for Foreign Affairs of the Republic of Nicaragua. in Spanish): On behalf of the delegation of the Republic of Nicaragua — cradle of Ruben Dario and Augusto C. Sandino
3074,General debate,A_63_PV.11_E, 2008-09-26 ,Plassnik,Austria,Ursula  Plassnik,AUT,Federal Minister for European and International Affairs of the Republic of Austria. Ms. Plassnik (Austria): 
3075,General debate,A_63_PV.11_E, 2008-09-26 ,Abbas,PLO,Mahmoud  Abbas,PSE,Chairman of the Executive Committee of the Palestine Liberation Organization and President of the Palestinian Authority. Mr. Abbas (Palestine) (spoke in Arabic): At the outset
3076,General debate,A_63_PV.11_E, 2008-09-26 ,Gonsalves,Saint Vincent and the Grenadines,Ralph  Gonsalves,VCT,Prime Minister of Saint Vincent and the Grenadines 
3077,General debate,A_63_PV.11_E, 2008-09-26 ,Ingraham,Bahamas,Hubert  Ingraham,BHS,Prime Minister and Minister of Finance of the Commonwealth of the Bahamas 
3078,General debate,A_63_PV.11_E, 2008-09-26 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi,WSM,Prime Minister of the Independent State of Samoa 
3079,General debate,A_63_PV.11_E, 2008-09-26 ,Stanishev,Bulgaria,Sergei   Stanishev,BGR,Prime Minister of the Republic of Bulgaria 
3080,General debate,A_63_PV.11_E, 2008-09-26 ,Thinley,Bhutan,Jigmi  Thinley,BTN,Prime Minister of the Kingdom of Bhutan 
3081,General debate,A_63_PV.11_E, 2008-09-26 ,Golding,Jamaica,Orette Bruce   Golding,JAM,Prime Minister of Jamaica 
3082,General debate,A_63_PV.11_E, 2008-09-26 ,Brown,United Kingdom,Gordon  Brown,GBR,Prime Minister of the United Kingdom of Great Britain and Northern Ireland 
3083,General debate,A_63_PV.11_E, 2008-09-26 ,Dahal,Nepal,Pushpa Kamal  Dahal,NPL,
3084,General debate,A_63_PV.11_E, 2008-09-26 ,Ahmed,Bangladesh,Fakhruddin  Ahmed,BGD,Chief Adviser of the Caretaker Government of the Peoples Republic of Bangladesh 
3085,General debate,A_63_PV.11_E, 2008-09-26 ,Ntisezerana,Burundi,Gabriel   Ntisezerana,BDI,Second Vice-President of the Republic of Burundi 
3086,General debate,A_63_PV.11_E, 2008-09-26 ,Kelekele,Vanuatu,Kalkot  Matas   Kelekele,VUT,President of the Republic of Vanuatu 
3087,General debate,A_63_PV.11_E, 2008-09-26 ,Préval,Haiti,René  Préval,HTI,President of the Republic of Haiti 
3088,General debate,A_63_PV.11_E, 2008-09-26 ,Vujanović,Montenegro,Filip  Vujanović,MNE,President of Montenegro hear an address by the President of Montenegro. President Vujanovic: It Mr. Filip Vujanovic
3053,General debate,A_63_PV.12_E, 2008-09-26 ,Miranda,Angola,Joao Bernardo de  Miranda,AGO,Minister for Foreign Affairs of the Republic of Angola. Mr. Miranda (Angola) (spoke in Portuguese; English the delegation): I am particularly honoured to address the General Assembly on behalf of His Excellency Mr. Jose Eduardo dos Santos
3054,General debate,A_63_PV.12_E, 2008-09-26 ,Jengeli,Somalia,Ali Ahmed Jama  Jengeli,SOM,Minister for Foreign Affairs of Somalia. Mr. Jengeli (Somalia): I take this opportunity to add my voice to those of numerous speakers who extended their warmest congratulations to Mr. dEscoto Brockmann on his assumption of his responsibilities as President of the General Assembly at its sixty-third session. I am confident that this world body will benefit from his rich experience and wise guidance. the Secretary-Generals commitment to putting Africas urgent needs at the top of his agenda during his term in office
3055,General debate,A_63_PV.12_E, 2008-09-26 ,Kubis,Slovakia,Ján  Kubis,SVK,Minister for Foreign Affairs of the Slovak Republic. international (Slovakia): 
3056,General debate,A_63_PV.12_E, 2008-09-26 ,Frattini,Italy,Franco  Frattini,ITA,Deputy Prime Minister and Minister for Foreign Affairs of Italy. Mr. Frattini (Italy): Today
3057,General debate,A_63_PV.12_E, 2008-09-26 ,Steinmeier,Germany,Frank-Walter  Steinmeier,DEU,Deputy Federal Chancellor and Minister for Foreign Affairs of the Federal Republic of Germany. Mr. Steinmeier (Germany) (spoke in German; interpretation provided by the delegation): I offer my congratulations to Mr. Miguel dEscoto Brockmann on his election as President of the General Assembly at its sixty-third session. I wish him every success. 
3058,General debate,A_63_PV.12_E, 2008-09-26 ,Thomas,Luxembourg,Tillman   Thomas,LUX,Prime Minister and Minister of National Security
3059,General debate,A_63_PV.12_E, 2008-09-26 ,Asselborn,Luxembourg,Jean  Asselborn,LUX,Deputy Prime Minister and Minister for Foreign Affairs of the Grand Duchy of Luxembourg. Mr. Asselborn (Luxembourg) (spoke in French): “[We] will not enjoy development without security
3060,General debate,A_63_PV.12_E, 2008-09-26 ,Souaré,Guinea,Ahmed Tidiane   Souaré,GIN,Prime Minister of the Republic of Guinea 
3061,General debate,A_63_PV.12_E, 2008-09-26 ,King,Saint Lucia,Stephenson  King,LCA,was escorted the rostrum. 
3062,General debate,A_63_PV.12_E, 2008-09-26 ,Sevele,Tonga,F.V.  Sevele,TON,Prime Minister of the Kingdom of Tonga. 
3063,General debate,A_63_PV.12_E, 2008-09-26 ,Skerrit,Dominica,Roosevelt  Skerrit,DMA,Prime Minister of the Commonwealth of Dominica. 
