,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
2226,General debate,A_59_PV.10_E, 2004-09-24 ,Miranda,Angola,Joao Bernardo de  Miranda,AGO,Minister for Foreign Affairs of the Republic of Angola. Mr. Miranda (Angola) (spoke in Portuguese; English the delegation): I am overwhelmed with a great sense of joy at seeing Mr. Ping preside over the General Assembly at this fifty-ninth session. My first words are thus to convey to him
2227,General debate,A_59_PV.10_E, 2004-09-24 ,Zuquilanda,Ecuador,Patricio  Zuquilanda,ECU,Minister for Foreign Affairs of the Republic of Ecuador. Mr. Zuquilanda (Ecuador) (spoke in Spanish): I have the honour to represent the President of Ecuador
2228,General debate,A_59_PV.10_E, 2004-09-24 ,Haarde,Iceland,Geir  Haarde,ISL,Minister for Finance and Acting Minister for Foreign Affairs and External Trade of Iceland. Mr. Haarde (Iceland): Sir
2229,General debate,A_59_PV.10_E, 2004-09-24 ,Cimoszewicz,Poland,Wlodzimierz  Cimoszewicz,POL,Minister for Foreign Affairs of the Republic of Poland. Mr. Cimoszewicz (Poland): 
2230,General debate,A_59_PV.10_E, 2004-09-24 ,Arnaldo Pérez,Venezuela,Jesús   Arnaldo Pérez,VEN,Minister for Foreign Affairs of the Republic of Cuba. Mr. Perez Roque (Cuba) (spoke in Spanish): Every year at the United Nations
2231,General debate,A_59_PV.10_E, 2004-09-24 ,Gucht,Belgium,Karel de  Gucht,BEL,Minister for Foreign Affairs of Belgium. Mr. De Gucht (Belgium) (spoke in French): Belgiums international commitment is rooted in the conviction that initiatives taken at the global level can move forward only through dialogue and cooperation. 
2232,General debate,A_59_PV.10_E, 2004-09-24 ,Al-Qirbi,Yemen,Abubakr A.  Al-Qirbi,YEM,Minister for Foreign Affairs of the Republic of Yemen. Mr. Al-Qirbi (Yemen) (spoke in Arabic): It gives me pleasure to begin my remarks by congratulating Mr. Ping on the vote of confidence represented by his election as President of the current session of the Assembly. Given his wisdom and organizational skills
2233,General debate,A_59_PV.10_E, 2004-09-24 ,Derbez,Mexico,Luis Ernesto  Derbez,MEX,Minister for Foreign Affairs of the United Mexican States. Mr. Derbez (Mexico) (spoke in Spanish): 
2234,General debate,A_59_PV.10_E, 2004-09-24 ,Pérez Roque,Cuba,Felipe  Pérez Roque,CUB,Minister for Foreign Affairs of the Republic of Cuba. Mr. Perez Roque (Cuba) (spoke in Spanish): Every year at the United Nations
2235,General debate,A_59_PV.10_E, 2004-09-24 ,Tokaev,Kazakhstan,Kasymzhomart  Tokaev,KAZ,Minister for Foreign Affairs of the Republic of Kazakhstan. Mr. Tokaev (Kazakhstan): First of all
2236,General debate,A_59_PV.10_E, 2004-09-24 ,Hunte,Saint Lucia,Julian R.  Hunte,LCA,for his considerable contribution to promoting the universality of the United Nations. My country
2237,General debate,A_59_PV.10_E, 2004-09-24 ,Walch,Liechtenstein,Ernst  Walch,LIE,Minister for Foreign Affairs of the Principality of Liechtenstein. Mr. Walch (Liechtenstein): 
2238,General debate,A_59_PV.10_E, 2004-09-24 ,Petersen,Norway,Jan  Petersen,NOR,Minister for Foreign Affairs of the Kingdom of Norway. Mr. Petersen (Norway): When we met here in the General Assembly last year
2239,General debate,A_59_PV.10_E, 2004-09-24 ,Aboul Gheit,Egypt,Ahmed  Aboul Gheit,EGY,Minister for Foreign Affairs of Egypt. Mr. Aboul Gheit (Egypt) (spoke in Arabic): It is a great pleasure to have Mr. Jean Ping presiding over the General Assembly at its fifty-ninth session. I am confident that his wealth of experience and the friendly ties that his sisterly country enjoys with all countries of the world will be a major asset for the Assembly as it discharges its tasks. 
2240,General debate,A_59_PV.10_E, 2004-09-24 ,Asselborn,Luxembourg,Jean  Asselborn,LUX,Deputy Prime Minister and Minister for Foreign Affairs and Immigration of the Grand Duchy of Luxembourg. Mr. Asselborn (Luxembourg) (spoke in French): It is a special honour for me
2241,General debate,A_59_PV.10_E, 2004-09-24 ,Allawi,Iraq,Ayad  Allawi,IRQ,Prime Minister of the Republic of Iraq 
2242,General debate,A_59_PV.10_E, 2004-09-24 ,Manning,Trinidad and Tobago,Patrick  Manning,TTO,Prime Minister of the Republic of Trinidad and Tobago 
2243,General debate,A_59_PV.10_E, 2004-09-24 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi,WSM,Prime Minister and Minister for Foreign Affairs and Trade of the Independent State of Samoa 
2244,General debate,A_59_PV.10_E, 2004-09-24 ,Rodrigues Pires,Cape Verde,Pedro Verona  Rodrigues Pires,CPV,President of the Republic of Cape Verde 
2203,General debate,A_59_PV.11_E, 2004-09-27 ,Altangerel,Mongolia,Radnaabazaryn  Altangerel,MNG,chairman of the delegation of Mongolia. Mr. Altangerel (Mongolia) (spoke in French): I wish to extend to you
2204,General debate,A_59_PV.11_E, 2004-09-27 ,Choe,Democratic People's Republic of Korea,Su Hon  Choe,PRK,Deputy Minister for At this very moment
2205,General debate,A_59_PV.11_E, 2004-09-27 ,Knight,Jamaica,Keith  Knight,JAM,Minister for Foreign Affairs and Foreign Trade of Jamaica. Mr. Knight (Jamaica): I congratulate you
2206,General debate,A_59_PV.11_E, 2004-09-27 ,Safoev,Uzbekistan,Sodiq  Safoev,UZB,Minister for Foreign Affairs of the Republic of Uzbekistan. Mr. Safoev (Uzbekistan): Allow me
2207,General debate,A_59_PV.11_E, 2004-09-27 ,Abdullah,Oman,Yousef bin al-Alawi bin  Abdullah,OMN,Prime Minister of Malaysia 
2208,General debate,A_59_PV.11_E, 2004-09-27 ,Madani,Saudi Arabia,Nizar Obaid  Madani,SAU,Assistant Minister for Foreign Affairs of Saudi Arabia. Mr. Madani (Saudi Arabia) (spoke in Arabic): I am pleased to express to you
2209,General debate,A_59_PV.11_E, 2004-09-27 ,Romulo,Philippines,Alberto Gatmaitan  Romulo,PHL,Minister for Foreign Affairs of the Philippines. 14 Mr. Romulo (Philippines): It gives me great pleasure to congratulate you
2210,General debate,A_59_PV.11_E, 2004-09-27 ,Wirajuda,Indonesia,Hassan  Wirajuda,IDN,Minister for Foreign Affairs of the Republic of Indonesia. Mr. Wirajuda (Indonesia): I am pleased to congratulate you
2211,General debate,A_59_PV.11_E, 2004-09-27 ,Li,China,Zhaoxing  Li,CHN,Minister for Foreign Affairs of the Peoples Republic of China. Mr. Li Zhaoxing (China) (spoke in Chinese): I offer my warm congratulations to you
2212,General debate,A_59_PV.11_E, 2004-09-27 ,Al-Shara',Syrian Arab Republic,Farouk  Al-Shara',SYR,Minister for Foreign Affairs of the Syrian Arab Republic. Mr. Al-Shara (Syrian Arab Republic) (spoke in Arabic): I would like to congratulate you
2213,General debate,A_59_PV.11_E, 2004-09-27 ,Abdullah bin Haji Ahmad Badawi,Malaysia,Datuk  Abdullah bin Haji Ahmad Badawi,MYS,namely terrorism
2192,General debate,A_59_PV.12_E, 2004-09-27 ,Le Cong,Viet Nam,Phung  Le Cong,VNM,Burundi
2193,General debate,A_59_PV.12_E, 2004-09-27 ,Mwakwere,Kenya,Chirau Ali  Mwakwere,KEN,Minister for Foreign Affairs of the Republic of Kenya. Mr. Mwakwere (Kenya): I am honoured to address the General Assembly for the first time. On behalf of my delegation and on my own behalf
2194,General debate,A_59_PV.12_E, 2004-09-27 ,Bamba,Côte d'Ivoire,Mamadou  Bamba,CIV,Minister of State and Minister for Foreign Affairs of the Republic of Cote dIvoire. Mr. Bamba (Cote dIvoire) (spoke in French): Allow me to convey to you
2195,General debate,A_59_PV.12_E, 2004-09-27 ,Gryshchenko,Ukraine,Kostyantyn  Gryshchenko,UKR,Minister for Foreign Affairs of Ukraine. Mr. Gryshchenko (Ukraine): Mr. President
2196,General debate,A_59_PV.12_E, 2004-09-27 ,Condé,Guinea,Mamady Lamine  Condé,GIN,Minister for Foreign Affairs of the Republic of Guinea. Mr. Conde (Guinea) (spoke in French): My first words are to congratulate you
2197,General debate,A_59_PV.12_E, 2004-09-27 ,Surakiart Sathirathai (Thailand),Thailand,urakiart Sathirathai ,THA,Minister for Foreign Affairs of the Kingdom of Thailand. Mr. Sathirathai (Thailand): At the outset
2198,General debate,A_59_PV.12_E, 2004-09-27 ,Muasher,Jordan,Marwan  Muasher,JOR,Minister for Foreign Affairs of the Hashemite Kingdom of Jordan. relationship with 
2199,General debate,A_59_PV.12_E, 2004-09-27 ,Miller,Barbados,Billie  Miller,BRB,Senior Minister and Minister for Foreign Affairs and Foreign Trade of Barbados. Dame Billie Miller (Barbados): Mr. President
2200,General debate,A_59_PV.12_E, 2004-09-27 ,Meredov,Turkmenistan,Rashid  Meredov,TKM,Deputy Prime Minister and Minister for Foreign Affairs of Turkmenistan. Mr. Meredov (Turkmenistan) (spoke in Russian): I should like at the outset to express my sincere gratitude for the honour to speak from this rostrum and to convey
2201,General debate,A_59_PV.12_E, 2004-09-27 ,Hor,Cambodia,Namhong  Hor,KHM,Deputy Prime Minister and Minister for Foreign Affairs and International Cooperation of Cambodia. the Kingdom of in congratulating Mr. Hor (Cambodia): At the outset
2202,General debate,A_59_PV.12_E, 2004-09-27 ,Lengsavad,Lao People's Democratic Republic,Somsavat  Lengsavad,LAO,Deputy Prime Minister and Minister for Foreign Affairs of the Lao Peoples Democratic Republic. the delegation): On behalf of Mr. Lengsavad (spoke in Lao; English text provided by the delegation of the Lao Peoples Democratic Republic
2178,General debate,A_59_PV.13_E, 2004-09-28 ,Kaddoumi,Palestine,Farouk  Kaddoumi,PSE,head of the observer delegation of Palestine. Mr. Kaddoumi (Palestine): Let me begin by congratulating you
2179,General debate,A_59_PV.13_E, 2004-09-28 ,El-Amine,Comoros,Souef Mohamed  El-Amine,COM,Minister for Foreign Affairs of the Union of the Comoros. Mr. El-Amine (Comoros) (spoke in French): Mr. President
2181,General debate,A_59_PV.13_E, 2004-09-28 ,Mindaoudou,Niger,Aichatou  Mindaoudou,NER,Minister for Foreign Affairs and Cooperation of the Republic of the Niger. Mrs. Mindaoudou (Niger) (spoke in French): Allow me at the outset
2182,General debate,A_59_PV.13_E, 2004-09-28 ,Mesfin,Ethiopia,Seyoum  Mesfin,ETH,Minister for Foreign Affairs of the Federal Democratic Republic of Ethiopia. Mr. Mesfin (Ethiopia): Allow me to extend to you warm congratulations on your election as President of the General Assembly at its fifty-ninth session. I would like to assure you of our fullest cooperation as you discharge the heavy responsibility bestowed upon you. I have no doubt that both Gabon and Africa will be proud of the leadership that I know you will provide at this session. I would also like to commend your predecessor for his invaluable contribution to the success of the fifty-eighth session of the General Assembly. to We continue to be deeply grateful the Secretary-General
2184,General debate,A_59_PV.13_E, 2004-09-28 ,Ouane,Mali,Moctar  Ouane,MLI,Minister for Foreign Affairs and International Cooperation of the Republic of Mali. Mr. Ouane (Mali) (spoke in French): Allow me at the outset warmly to congratulate you
2185,General debate,A_59_PV.13_E, 2004-09-28 ,Harris,Saint Kitts and Nevis,Timothy Sylvester  Harris,KNA,Minister for Foreign Affairs and Education of Saint Kitts and Nevis. Mr. Harris (Saint Kitts and Nevis): I am pleased to welcome and congratulate you
2186,General debate,A_59_PV.13_E, 2004-09-28 ,Tozoun,Togo,Kokou  Tozoun,TGO,Minister for Foreign Affairs and Cooperation of the Togolese Republic. Mr. Tozoun (Togo) (spoke in French): In expressing to you
2188,General debate,A_59_PV.13_E, 2004-09-28 ,Wangchuk,Bhutan,Lyonpo Khandu  Wangchuk,BTN,Minister Kingdom of Bhutan. Mr. Wangchuk (Bhutan): On behalf of the delegation of Bhutan
2189,General debate,A_59_PV.13_E, 2004-09-28 ,Ben Yahia,Tunisia,Habib  Ben Yahia,TUN,Minister for Foreign Affairs of the Republic of Tunisia. Mr. Ben Yahia (Tunisia) (spoke in Arabic): It is my honour to read out the statement of Mr. Zine El Abidine Ben Ali
2190,General debate,A_59_PV.13_E, 2004-09-28 ,Taumoepeau-Tupou,Tonga,Sonatane T.  Taumoepeau-Tupou,TON,Minister for Foreign Affairs of the Kingdom of Tonga. Mr. Taumoepeau-Tupou (Tonga): I congratulate you
2191,General debate,A_59_PV.13_E, 2004-09-28 ,Akayev,Kyrgyzstan,Askar  Akayev,KGZ,President of the Kyrgyz Republic 
2170,General debate,A_59_PV.14_E, 2004-09-28 ,Butime,Uganda,Tom  Butime,UGA,acting Minister for Foreign Affairs of the Republic of Uganda. Mr. Butime (Uganda): On behalf of my delegation
2171,General debate,A_59_PV.14_E, 2004-09-28 ,Ngoubeyou,Cameroon,François-Xavier  Ngoubeyou,CMR,Minister of State in Charge of External Relations of the Republic of Cameroon. Mr. Ngoubeyou (Cameroon) (spoke in French): On 10 June 2004
2172,General debate,A_59_PV.14_E, 2004-09-28 ,Mautamate,Vanuatu,Barak Sope  Mautamate,VUT,Minister for Foreign Affairs of Republic of Vanuatu. Mr. Mautamate (Vanuatu): I bring this gathering a warm greeting from the people of the Republic of Vanuatu. to 24 I take the outset
2173,General debate,A_59_PV.14_E, 2004-09-28 ,Namaliu,Papua New Guinea,Rabbie  Namaliu,PNG,Minister for Foreign Affairs and Immigration of Papua New Guinea. Mr. Namaliu (Papua New Guinea): My delegation warmly welcomes you to the presidency of the General Assembly at its fifty-ninth session and pledges our support. We acknowledge that you are also from our Forum of Small States group and therefore share our common problems and challenges. Please convey my delegations commendation to your predecessor
2174,General debate,A_59_PV.14_E, 2004-09-28 ,Cuttaree,Mauritius,Jaya Krishna  Cuttaree,MUS,Minister for Foreign Affairs
2175,General debate,A_59_PV.14_E, 2004-09-28 ,Chan,Solomon Islands,Laurie  Chan,SLB,which he has set up to address this. We believe that United Nations reform should be comprehensive and include an expanded and more representative Security Council
2176,General debate,A_59_PV.14_E, 2004-09-28 ,Stratan,Republic of Moldova,Andrei  Stratan,MDA,Minister for Foreign Affairs of the Republic of Moldova. Mr. Stratan (Republic of Moldova): At the outset
2177,General debate,A_59_PV.14_E, 2004-09-28 ,Mahat,Nepal,Prakash Sharan  Mahat,NPL,Minister of State for Foreign Affairs of the Kingdom of Nepal. Mr. Mahat (Nepal): Allow me to congratulate you
2180,General debate,A_59_PV.14_E, 2004-09-28 ,Hajah Masna,Brunei Darussalam,Princess of Brunei Darussalam  Hajah Masna,BRN,Special Envoy of Brunei Darussalam. Princess Hajah Masna (Brunei Darussalam): I would like to extend my warmest congratulations to you
2183,General debate,A_59_PV.14_E, 2004-09-28 ,Berardi,San Marino,Fabio  Berardi,SMR,Minister for Foreign and Political Affairs of the Republic of San Marino. Mr. Berardi (San Marino) (spoke in Italian; English text provided by the delegation): At the outset
2187,General debate,A_59_PV.14_E, 2004-09-28 ,Tong,Kiribati,Anote  Tong,KIR,President of the Republic of Kiribati 
2160,General debate,A_59_PV.15_E, 2004-09-29 ,Lajolo,Holy See,Giovanni  Lajolo,VAT,Secretary for Relations with States of the Observer State of the Holy See. Archbishop Lajolo (Holy See): 
2161,General debate,A_59_PV.15_E, 2004-09-29 ,Bródi,Hungary,Gábor  Bródi,HUN,Deputy Minister for Foreign Affairs of the Republic of Hungary. to extend Mr. Brodi (Hungary): I would like to take this opportunity to you
2162,General debate,A_59_PV.15_E, 2004-09-29 ,Koroma,Sierra Leone,Momodu  Koroma,SLE,Minister for Foreign Affairs and International Cooperation of the Republic of Sierra Leone. to direct the affairs of Mr. Koroma (Sierra Leone): I would like to join others in congratulating you
2163,General debate,A_59_PV.15_E, 2004-09-29 ,Oskanian,Armenia,Vartan  Oskanian,ARM,Minister for Foreign Affairs of the Republic of Armenia. Mr. Oskanian (Armenia): We wish to extend our congratulations to you
2164,General debate,A_59_PV.15_E, 2004-09-29 ,Martynov,Belarus,Sergei N.  Martynov,BLR,Minister for Foreign Affairs of the Republic of Belarus. Mr. Martynov (Belarus) (spoke in Russian): For decades now we have been hearing very disturbing questions from this rostrum: Where is our world heading?
2165,General debate,A_59_PV.15_E, 2004-09-29 ,Winn,Myanmar,Tin  Winn,MMR,Minister
2166,General debate,A_59_PV.15_E, 2004-09-29 ,Biaou,Benin,Rogatien  Biaou,BEN,Minister for Foreign Affairs and African Integration of the Republic of Benin. Mr. Biaou (Benin) (spoke in French): Allow me first of all to address my warmest congratulations to Mr. Jean Ping on his election as President of the General Assembly at its fifty-ninth session. Allow me also to pay a well-deserved tribute to Mr. Pings eminent predecessor
