,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
1328,General debate,A_54_PV.10_E, 1999-09-23 ,Arafat,PLO,Yasir  Arafat,PSE,Chairman of the Executive Committee of the Palestine Liberation Organization and President of the Palestinian Authority
1329,General debate,A_54_PV.10_E, 1999-09-23 ,Moussa,Egypt,Amre  Moussa,EGY,
1330,General debate,A_54_PV.10_E, 1999-09-23 ,Axworthy,Canada,Lloyd  Axworthy,CAN,
1331,General debate,A_54_PV.10_E, 1999-09-23 ,Albert II,Monaco,Prince of Monaco  Albert II,MCO,Secretary of State Albright
1332,General debate,A_54_PV.10_E, 1999-09-23 ,Klerides,Cyprus,Glaukos  Klerides,CYP,
1333,General debate,A_54_PV.10_E, 1999-09-23 ,Meidani,Albania,Rexhep  Meidani,ALB,President of Republic of Albania the 
1316,General debate,A_54_PV.11_E, 1999-09-23 ,Dimitrov,The former Yugoslav Republic of Macedonia,Aleksandar  Dimitrov,MKD,
1317,General debate,A_54_PV.11_E, 1999-09-23 ,Plesu,Romania,Andrei  Plesu,ROU,
1318,General debate,A_54_PV.11_E, 1999-09-23 ,Cem,Turkey,Ismail  Cem,TUR,
1319,General debate,A_54_PV.11_E, 1999-09-23 ,Alatas,Indonesia,Ali  Alatas,IDN,which was set up on a proposal made by Sri Lanka
1320,General debate,A_54_PV.11_E, 1999-09-23 ,Green,Mexico,Rosario  Green,MEX,to whom I give the floor. the Minister Mrs. Green (Mexico) (spoke in Spanish): My delegation welcomes the election of for Foreign Affairs of Namibia
1321,General debate,A_54_PV.11_E, 1999-09-23 ,Kadirgamar,Sri Lanka,Lakshman  Kadirgamar,LKA,Member of Parliament and Minister of Foreign Affairs of Sri Lanka. Mr. Kadirgamar (Sri Lanka): Allow me first to extend to our President's distinguished predecessor
1322,General debate,A_54_PV.11_E, 1999-09-23 ,Opertti,Uruguay,Didier  Opertti,URY,for the excellent manner in which he discharged his duties as President of the Assembly at its last session. To Secretary-General Kofi Annan
1323,General debate,A_54_PV.11_E, 1999-09-23 ,Al-Shaheen,Kuwait,Suleiman  Al-Shaheen,KWT,
1324,General debate,A_54_PV.11_E, 1999-09-23 ,Polfer,Luxembourg,Lydie  Polfer,LUX,
1325,General debate,A_54_PV.11_E, 1999-09-23 ,El-Hoss,Lebanon,Salim  El-Hoss,LBN,Prime Minister of Lebanon 
1326,General debate,A_54_PV.11_E, 1999-09-23 ,Mosisili,Lesotho,Pakalitha Bethuel  Mosisili,LSO,Prime Minister of Lesotho 
1327,General debate,A_54_PV.11_E, 1999-09-23 ,Obiang Nguema Mbasogo,Equatorial Guinea,Teodoro  Obiang Nguema Mbasogo,GNQ,President of the Republic of Equatorial Guinea 
1309,General debate,A_54_PV.12_E, 1999-09-24 ,Al-Sahaf,Iraq,Mohammed Said  Al-Sahaf,IRQ,
1310,General debate,A_54_PV.12_E, 1999-09-24 ,Jayakumar,Singapore,Shunmugam  Jayakumar,SGP,
1311,General debate,A_54_PV.12_E, 1999-09-24 ,Tokaev,Kazakhstan,Kasymzhomart  Tokaev,KAZ,
1312,General debate,A_54_PV.12_E, 1999-09-24 ,Pérez Roque,Cuba,Felipe  Pérez Roque,CUB,a professional man — well known and respected in United States Government circles — who had been appointed by the revolutionary Government to take over the management of the Cuban National Bank
1313,General debate,A_54_PV.12_E, 1999-09-24 ,Kharrazi,Iran,Kamal  Kharrazi,IRN,
1314,General debate,A_54_PV.12_E, 1999-09-24 ,Baudin,Senegal,Jacques  Baudin,SEN,
1315,General debate,A_54_PV.12_E, 1999-09-24 ,Fernández,Dominican Republic,Leonel  Fernández,DOM,President of the Dominican Republic 
1297,General debate,A_54_PV.13_E, 1999-09-24 ,Aung,Myanmar,Win  Aung,MMR,
1298,General debate,A_54_PV.13_E, 1999-09-24 ,Bolkiah,Brunei Darussalam,Mohamed  Bolkiah,BRN,
1299,General debate,A_54_PV.13_E, 1999-09-24 ,Willi,Liechtenstein,Andrea  Willi,LIE,
1300,General debate,A_54_PV.13_E, 1999-09-24 ,Asgrímsson,Iceland,Halldór  Asgrímsson,ISL,about how the world should react to tragic situations involving massive and flagrant violations of human rights at a time when
1301,General debate,A_54_PV.13_E, 1999-09-24 ,Martonyi,Hungary,János  Martonyi,HUN,
1302,General debate,A_54_PV.13_E, 1999-09-24 ,Abdulla,Oman,Yousef  Abdulla,OMN,
1303,General debate,A_54_PV.13_E, 1999-09-24 ,Aartsen,Netherlands,Jozias van  Aartsen,NLD,
1304,General debate,A_54_PV.13_E, 1999-09-24 ,Somare,Papua New Guinea,Michael  Somare,PNG,
1305,General debate,A_54_PV.13_E, 1999-09-24 ,Drnovsek,Slovenia,Janez  Drnovsek,SVN,Prime Minister of the Republic of Slovenia 
1306,General debate,A_54_PV.13_E, 1999-09-24 ,Jagdeo,Guyana,Bharrat  Jagdeo,GUY,President of the Republic of Guyana 
1307,General debate,A_54_PV.13_E, 1999-09-24 ,Jammeh,Gambia,A.J.J.  Jammeh,GMB,President of the Republic of the Gambia 
1308,General debate,A_54_PV.13_E, 1999-09-24 ,Conte,Guinea,Lansana  Conte,GIN,President of Republic of Guinea the 
1289,General debate,A_54_PV.14_E, 1999-09-25 ,Borg,Malta,Joseph  Borg,MLT,
1290,General debate,A_54_PV.14_E, 1999-09-25 ,Valdés,Chile,Juan Gabriel  Valdés,CHL,will play an increasingly relevant role in the new international social agenda. Violations of the basic rights of individuals can no longer be considered an exclusively domestic problem of a country. Protection of these rights is the inescapable task of the international community. This has been recognized by Chile
1291,General debate,A_54_PV.14_E, 1999-09-25 ,Michel,Belgium,Louis  Michel,BEL,
1292,General debate,A_54_PV.14_E, 1999-09-25 ,Ouédraogo,Burkina Faso,Youssouf  Ouédraogo,BFA,
1293,General debate,A_54_PV.14_E, 1999-09-25 ,Pitsuwan,Thailand,Surin  Pitsuwan,THA,
1294,General debate,A_54_PV.14_E, 1999-09-25 ,Paek,Democratic People's Republic of Korea,Nam Sun  Paek,PRK,a country that is to us a symbol of the struggle against oppression. First of all
1295,General debate,A_54_PV.14_E, 1999-09-25 ,Latypov,Belarus,Ural  Latypov,BLR,
1296,General debate,A_54_PV.14_E, 1999-09-25 ,Remengesau,Palau,Thomas Esang  Remengesau,PLW,Jr.
1390,General debate,A_54_PV.15_E, 1999 ,Mubanda,Uganda,Alfred  Mubanda,UGA,
1391,General debate,A_54_PV.15_E, 1999 ,Idji,Benin,Kolawolé  Idji,BEN,
1392,General debate,A_54_PV.15_E, 1999 ,Andrews,Ireland,David  Andrews,IRL,
1393,General debate,A_54_PV.15_E, 1999 ,Godana,Kenya,Bonaya Adhi  Godana,KEN,
1394,General debate,A_54_PV.15_E, 1999 ,Nguyen,Viet Nam,Manh Cam  Nguyen,VNM,
1395,General debate,A_54_PV.15_E, 1999 ,Granic,Croatia,Mate  Granic,HRV,
1396,General debate,A_54_PV.15_E, 1999 ,Veiga,Cape Verde,Carlos  Veiga,CPV,Prime Minister of Cape Verde 
1397,General debate,A_54_PV.15_E, 1999 ,Amarjargal,Mongolia,Rinchinnyamyn  Amarjargal,MNG,Prime Minister of Mongolia 
1398,General debate,A_54_PV.15_E, 1999 ,Flores Perez,El Salvador,Francisco  Flores Perez,SLV,President of the Republic of El Salvador 
1399,General debate,A_54_PV.15_E, 1999 ,Stoyanov,Bulgaria,Petar  Stoyanov,BGR,President of Republic of Bulgaria the 
1284,General debate,A_54_PV.16_E, 1999-09-29 ,Thinley,Bhutan,Jigmi  Thinley,BTN,
1285,General debate,A_54_PV.16_E, 1999-09-29 ,Annadif,Chad,Mahamat Saleh   Annadif,TCD,Prime Minister of Malaysia 
1286,General debate,A_54_PV.16_E, 1999-09-29 ,Mahathir,Malaysia,Mohamad  Mahathir,MYS,Prime Minister of Malaysia 
1287,General debate,A_54_PV.16_E, 1999-09-29 ,Downer,Australia,Alexander  Downer,AUS,
1288,General debate,A_54_PV.16_E, 1999-09-29 ,Malielegaoi,Samoa,Tuilaepa Sailele  Malielegaoi,WSM,Prime Minister of the Independent State of Samoa
1273,General debate,A_54_PV.17_E, 1999-09-29 ,Lewis,Antigua and Barbuda,Patrick  Lewis,ATG,the flag of the United Nations served as a shroud. We do not wish
1274,General debate,A_54_PV.17_E, 1999-09-29 ,Saudargas,Lithuania,Algirdas  Saudargas,LTU,
1275,General debate,A_54_PV.17_E, 1999-09-29 ,Ndombasi,Democratic Republic of the Congo,Yerodia Abdoulaye  Ndombasi,COD,
1276,General debate,A_54_PV.17_E, 1999-09-29 ,Cruickshank,Saint Vincent and the Grenadines,Allan  Cruickshank,VCT,
1277,General debate,A_54_PV.17_E, 1999-09-29 ,Ping,Gabon,Jean  Ping,GAB,
1278,General debate,A_54_PV.17_E, 1999-09-29 ,Oskanian,Armenia,Vartan  Oskanian,ARM,
1279,General debate,A_54_PV.17_E, 1999-09-29 ,Ben Mustapha,Tunisia,Said  Ben Mustapha,TUN,
1280,General debate,A_54_PV.17_E, 1999-09-29 ,McKinnon,New Zealand,Don  McKinnon,NZL,
1281,General debate,A_54_PV.17_E, 1999-09-29 ,Sanhá,Guinea-Bissau,Malam Bacai  Sanhá,GNB,President of the Republic of Guinea-Bissau 
1282,General debate,A_54_PV.17_E, 1999-09-29 ,Geremek,Poland,Bronislaw  Geremek,POL,Sir
1283,General debate,A_54_PV.17_E, 1999-09-29 ,Mullings,Jamaica,Seymour  Mullings,JAM,
1265,General debate,A_54_PV.18_E, 1999-09-30 ,Miller,Barbados,Billie  Miller,BRB,
1266,General debate,A_54_PV.18_E, 1999-09-30 ,Ortíz,Ecuador,Benjamin  Ortíz,ECU,
1267,General debate,A_54_PV.18_E, 1999-09-30 ,Hong,Republic of Korea,Soon-young  Hong,KOR,
1268,General debate,A_54_PV.18_E, 1999-09-30 ,Al-Shara',Syrian Arab Republic,Farouk  Al-Shara',SYR,
1269,General debate,A_54_PV.18_E, 1999-09-30 ,Adada,Congo,Rodolphe  Adada,COG,
1270,General debate,A_54_PV.18_E, 1999-09-30 ,Purryag,Mauritius,Rajkeswur  Purryag,MUS,
1271,General debate,A_54_PV.18_E, 1999-09-30 ,Al Thani,Qatar,Hamad Bin Jassem  Al Thani,QAT,the Emir of the State of Qatar
1272,General debate,A_54_PV.18_E, 1999-09-30 ,Musa,Belize,Said  Musa,BLZ,Prime Minister and Minister of Finance and Foreign Affairs of Belize 
1256,General debate,A_54_PV.19_E, 1999-09-30 ,Banya,Sierra Leone,Sama  Banya,SLE,
1257,General debate,A_54_PV.19_E, 1999-09-30 ,Madani,Saudi Arabia,Nizar Obaid  Madani,SAU,
1258,General debate,A_54_PV.19_E, 1999-09-30 ,Odlum,Saint Lucia,George  Odlum,LCA,
1259,General debate,A_54_PV.19_E, 1999-09-30 ,Ba-Jammal,Yemen,Abdul-Qader  Ba-Jammal,YEM,obtained 96 per cent of the votes. A new term and a new era will begin on 3 October this year
1260,General debate,A_54_PV.19_E, 1999-09-30 ,Dorda,Libyan Arab Jamahiriya,Abuzed  Dorda,LBY,
1261,General debate,A_54_PV.19_E, 1999-09-30 ,Bhattarai,Nepal,Krishna  Bhattarai,NPL,Prime Minister of the Kingdom of Nepal
1262,General debate,A_54_PV.19_E, 1999-09-30 ,Mayaki,Niger,Ibrahim Assane  Mayaki,NER,Prime Minister of the Republic of the Niger 
1263,General debate,A_54_PV.19_E, 1999-09-30 ,Ulufu'alu,Solomon Islands,Bartholomew  Ulufu'alu,SLB,Prime Minister of the Solomon Islands 
1264,General debate,A_54_PV.19_E, 1999-09-30 ,Chissano,Mozambique,Joachim Alberto  Chissano,MOZ,President of the Republic of Mozambique 
1248,General debate,A_54_PV.20_E, 1999-10-01 ,Isaac,Grenada,Mark  Isaac,GRD,
1249,General debate,A_54_PV.20_E, 1999-10-01 ,Koffigoh,Togo,Joseph  Koffigoh,TGO,
1250,General debate,A_54_PV.20_E, 1999-10-01 ,Longchamp,Haiti,Fritz  Longchamp,HTI,
1251,General debate,A_54_PV.20_E, 1999-10-01 ,Bostwick,Bahamas,Janet  Bostwick,BHS,Istanbul
1252,General debate,A_54_PV.20_E, 1999-10-01 ,Mpinganjira,Malawi,Brown  Mpinganjira,MWI,
1253,General debate,A_54_PV.20_E, 1999-10-01 ,Murillo de la Rocha,Bolivia,Javier  Murillo de la Rocha,BOL,the people of Tajikistan have made their choice in favour of democracy. Although our movement towards the reform of the political system and market transformations in the social and political sphere has been seriously tested
1254,General debate,A_54_PV.20_E, 1999-10-01 ,Merafhe,Botswana,Mompati S.  Merafhe,BWA,
1255,General debate,A_54_PV.20_E, 1999-10-01 ,Rakhmonov,Tajikistan,Emomali  Rakhmonov,TJK,President of the Republic of Tajikistan 
1225,General debate,A_54_PV.22_E, 1999-10-02 ,Ntahomvukiye,Burundi,Severin  Ntahomvukiye,BDI,Burundi had to defend itself
1226,General debate,A_54_PV.22_E, 1999-10-02 ,Jameel,Maldives,Fathulla  Jameel,MDV,
1227,General debate,A_54_PV.22_E, 1999-10-02 ,Captan,Liberia,Monie  Captan,LBR,
1228,General debate,A_54_PV.22_E, 1999-10-02 ,Djekshenkulov,Kyrgyzstan,Alikbek  Djekshenkulov,KGZ,
1229,General debate,A_54_PV.22_E, 1999-10-02 ,Iyamuremye,Rwanda,Augustin  Iyamuremye,RWA,in Bishkek
1230,General debate,A_54_PV.22_E, 1999-10-02 ,Kontchou Kouomegni,Cameroon,Augustin  Kontchou Kouomegni,CMR,in Bishkek
1231,General debate,A_54_PV.22_E, 1999-10-02 ,El-Amine,Comoros,Souef Mohamed  El-Amine,COM,
1232,General debate,A_54_PV.22_E, 1999-10-02 ,Tabacaru,Republic of Moldova,Nicolae  Tabacaru,MDA,
1233,General debate,A_54_PV.22_E, 1999-10-02 ,Abdullah,Afghanistan,Abdullah  Abdullah,AFG,
1234,General debate,A_54_PV.22_E, 1999-10-02 ,Maraj,Trinidad and Tobago,Ralph  Maraj,TTO,
1235,General debate,A_54_PV.22_E, 1999-10-02 ,Khoza,Swaziland,Arthur  Khoza,SWZ,
1384,General debate,A_54_PV.4_E, 1999-09-20 ,Khatib,Jordan,Abdel-Elah  Khatib,JOR,the current Chairperson of the Organization of African Unity (OAU)
1385,General debate,A_54_PV.4_E, 1999-09-20 ,Jospin,France,Lionel  Jospin,FRA,Prime Minister of the French Republic 
1386,General debate,A_54_PV.4_E, 1999-09-20 ,Shevardnadze,Georgia,Eduard Amvrosievich  Shevardnadze,GEO,President of Georgia 
