,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
286,General debate,A_48_PV.10_E, 1993-09-30 ,Asamoah,Ghana,Obed  Asamoah,GHA,
287,General debate,A_48_PV.10_E, 1993-09-30 ,Jeszenszky,Hungary,Geza  Jeszenszky,HUN,
288,General debate,A_48_PV.10_E, 1993-09-30 ,Andreatta,Italy,Beniamino  Andreatta,ITA,
289,General debate,A_48_PV.10_E, 1993-09-30 ,Hariri,Lebanon,1944-2005   Rafiq Baha Hariri,LBN,Prime Minister of Lebanon
290,General debate,A_48_PV.10_E, 1993-09-30 ,Afwerki,Eritrea,Isaias  Afwerki,ERI,President of the State of Eritrea
291,General debate,A_48_PV.10_E, 1993-09-30 ,Rakhmonov,Tajikistan,Emomali  Rakhmonov,TJK,Chairman of the Supreme Council of the Republic of Tajikistan
292,General debate,A_48_PV.10_E, 1993-09-30 ,Gligorov,The former Yugoslav Republic of Macedonia,Kiro.  Gligorov,MKD,President of the Former Yugoslav Republic of Macedonia
276,General debate,A_48_PV.11_E, 1993-09-30 ,St. Jorre,Seychelles,Danielle de  St. Jorre,SYC,
277,General debate,A_48_PV.11_E, 1993-09-30 ,Bongo,Gabon,Pascaline  Bongo,GAB,
278,General debate,A_48_PV.11_E, 1993-09-30 ,Cetin,Turkey,Hikmet  Cetin,TUR,
279,General debate,A_48_PV.11_E, 1993-09-30 ,Kasenally,Mauritius,Ahmud Swalay  Kasenally,MUS,
280,General debate,A_48_PV.11_E, 1993-09-30 ,Haavisto,Finland,Heikki  Haavisto,FIN,
281,General debate,A_48_PV.11_E, 1993-09-30 ,Subah,Kuwait,Sabah al-Ahmad al-Jabir  Subah,KWT,
282,General debate,A_48_PV.11_E, 1993-09-30 ,Solana,Spain,Javier  Solana,ESP,
283,General debate,A_48_PV.11_E, 1993-09-30 ,Barroso,Portugal,José Manuel Durão  Barroso,PRT,by encouraging the efforts - which have already made progress possible - aimed at for democratic institutions and human rights and developing new forms of economic integration. increasing respect I should also like to mention the current negotiations on the preservation of natural resources and the maintenance of environmental balance. 
284,General debate,A_48_PV.11_E, 1993-09-30 ,Zlenko,Ukraine,Anatoli  Zlenko,UKR,
285,General debate,A_48_PV.11_E, 1993-09-30 ,Meri,Estonia,Lennart  Meri,EST,President of the Republic of Estonia
271,General debate,A_48_PV.12_E, 1993-10-01 ,Singh,India,Dinesh.  Singh,IND,
272,General debate,A_48_PV.12_E, 1993-10-01 ,Papaconstantinou,Greece,Michael  Papaconstantinou,GRC,
273,General debate,A_48_PV.12_E, 1993-10-01 ,Ochoa Antich,Venezuela,Fernando  Ochoa Antich,VEN,
274,General debate,A_48_PV.12_E, 1993-10-01 ,Fujimori,Peru,Alberto  Fujimori,PER,Constitutional President of the Republic of Peru
275,General debate,A_48_PV.12_E, 1993-10-01 ,Jagan,Guyana,Cheddi  Jagan,GUY,President of the Republic of Guyana
260,General debate,A_48_PV.13_E, 1993-10-01 ,Toure,Mali,Mohamed  Toure,MLI,Prime Minister of Malaysia
261,General debate,A_48_PV.13_E, 1993-10-01 ,Bounkoulou,Congo,Benjamin  Bounkoulou,COG,
262,General debate,A_48_PV.13_E, 1993-10-01 ,Hameed,Sri Lanka,Shahul  Hameed,LKA,
263,General debate,A_48_PV.13_E, 1993-10-01 ,Sanon,Burkina Faso,Thomas  Sanon,BFA,
264,General debate,A_48_PV.13_E, 1993-10-01 ,Spring,Ireland,Dick  Spring,IRL,
265,General debate,A_48_PV.13_E, 1993-10-01 ,Alatas,Indonesia,Ali  Alatas,IDN,in his meeting with then Prime Minister Miyazawa of Japan as Chairman of the Group of Seven on the eve of the G-7 Summit last July
266,General debate,A_48_PV.13_E, 1993-10-01 ,Zia,Bangladesh,Begum Khaleda  Zia,BGD,Prime Minister of the Peoples Republic of Bangladesh
267,General debate,A_48_PV.13_E, 1993-10-01 ,Mahathir,Malaysia,Mohamad  Mahathir,MYS,Prime Minister of Malaysia
268,General debate,A_48_PV.13_E, 1993-10-01 ,De Marco,Malta,Guido  De Marco,MLT,
269,General debate,A_48_PV.13_E, 1993-10-01 ,Mock,Austria,Alois  Mock,AUT,
270,General debate,A_48_PV.13_E, 1993-10-01 ,Mswati III,Swaziland,1968-   King of Swaziland Mswati III,SWZ,HEAD OF STATE OF THE KINGDOM OF SWAZILAND 
255,General debate,A_48_PV.14_E, 1993-10-04 ,Velayati,Iran,Ali Akbar  Velayati,IRN,
256,General debate,A_48_PV.14_E, 1993-10-04 ,Al-Shara',Syrian Arab Republic,Farouk  Al-Shara',SYR,
257,General debate,A_48_PV.14_E, 1993-10-04 ,Al-Nuaimi,United Arab Emirates,Rashid Abdullah  Al-Nuaimi,ARE,
258,General debate,A_48_PV.14_E, 1993-10-04 ,Robaina Gonzalez,Cuba,Roberto  Robaina Gonzalez,CUB,
259,General debate,A_48_PV.14_E, 1993-10-04 ,NDADAYE,Burundi,MELCHIOR.  NDADAYE,BDI,
242,General debate,A_48_PV.15_E, 1993-10-04 ,Ibañez Fajardo,Cuba,Dario  Ibañez Fajardo,CUB,
243,General debate,A_48_PV.15_E, 1993-10-04 ,Samhan,United Arab Emirates,Mohammed Jasim  Samhan,ARE,
244,General debate,A_48_PV.15_E, 1993-10-04 ,Naimi-Arfa,Iran,Bahman  Naimi-Arfa,IRN,
245,General debate,A_48_PV.15_E, 1993-10-04 ,McLean,United States,J. Phillip  McLean,USA,former Secretary-General of the United Nations; to Mr. Boutros Boutros-Ghali
