,Unnamed: 0,Unnamed: 0.1,speech_type,proceeding,date,speaker_surname,country,speaker_name,country_code,position
3902,3902,3902,General debate,A_67_PV.10_E, 2012-09-26 ,Banda,Malawi,Joyce Hilda Mtila  Banda,MWI,President of the Republic of Malawi
3903,3903,3903,General debate,A_67_PV.10_E, 2012-09-26 ,Ilves,Estonia,Toomas Hendrik  Ilves,EST,President of the Republic of Estonia
3904,3904,3904,General debate,A_67_PV.10_E, 2012-09-26 ,Timofti,Republic of Moldova,Nicolae  Timofti,MDA,President of the Republic of Moldova
3905,3905,3905,General debate,A_67_PV.10_E, 2012-09-26 ,Rajoelina,Madagascar,Andry Nirina  Rajoelina,MDG,President of the Transition of the Republic of Madagascar
3906,3906,3906,General debate,A_67_PV.10_E, 2012-09-26 ,Pérez Molina,Guatemala,Otto Fernando  Pérez Molina,GTM,President of the Republic of Guatemala
3907,3907,3907,General debate,A_67_PV.10_E, 2012-09-26 ,Santos Calderón,Colombia,Juan Manuel  Santos Calderón,COL,President of the Republic of Colombia
3889,3889,3889,General debate,A_67_PV.11_E, 2012-09-26 ,Gambi,Central African Republic,Antoine  Gambi,CAF,was escorted to the rostrum.
3890,3890,3890,General debate,A_67_PV.11_E, 2012-09-26 ,Moukoko Mbonjo,Cameroon,Pierre  Moukoko Mbonjo,CMR,Minister for External Relations of the Republic of Cameroon.Mr. Moukoko Mbonjo (Cameroon) (spoke in French): I speak on behalf of Mr. Paul Biya
3891,3891,3891,General debate,A_67_PV.11_E, 2012-09-26 ,Kablan Duncan,Côte d'Ivoire,Daniel   Kablan Duncan,CIV,Minister for Foreign Affairs of Cote dIvoire.Mr. Duncan (Cote dIvoire) (spoke in French): His Excellency Mr. Alassane Ouattara
3892,3892,3892,General debate,A_67_PV.11_E, 2012-09-26 ,Corlatean,Romania,Titus  Corlatean,ROU,Minister for Foreign Affairs of Romania.Mr. Corlatean (Romania) (spoke in French): 
3893,3893,3893,General debate,A_67_PV.11_E, 2012-09-26 ,Bazoum,Niger,Mohamed  Bazoum,NER,Minister of State for Foreign Affairs
3894,3894,3894,General debate,A_67_PV.11_E, 2012-09-26 ,Diarra,Mali,Cheick Mohamed Abdoulaye Souad dit Modibo  Diarra,MLI,Prime Minister of the Republic of Mali
3895,3895,3895,General debate,A_67_PV.11_E, 2012-09-26 ,Di Rupo,Belgium,Elio  Di Rupo,BEL,Prime Minister of the Kingdom of Belgium
3896,3896,3896,General debate,A_67_PV.11_E, 2012-09-26 ,Njie-Saidy,Gambia,Aja Isatou  Njie-Saidy,GMB,Vice-President and Minister for Womens Affairs of the Republic of the Gambia
3897,3897,3897,General debate,A_67_PV.11_E, 2012-09-26 ,Morales Ayma,Bolivia,Evo  Morales Ayma,BOL,Constitutional President of the Plurinational State of Bolivia
3898,3898,3898,General debate,A_67_PV.11_E, 2012-09-26 ,Berzins,Latvia,Andris  Berzins,LVA,President of the Republic of Latvia
3899,3899,3899,General debate,A_67_PV.11_E, 2012-09-26 ,Martelly,Haiti,Michel Joseph  Martelly,HTI,President of the Republic of Haiti
3900,3900,3900,General debate,A_67_PV.11_E, 2012-09-26 ,Mugabe,Zimbabwe,Robert Gabriel  Mugabe,ZWE,President of the Republic of Zimbabwe
3901,3901,3901,General debate,A_67_PV.11_E, 2012-09-26 ,Tong,Kiribati,Anote  Tong,KIR,President
3850,3850,3850,General debate,A_67_PV.12_E, 2012-09-27 ,Thein Sein (Myanmar. President),Myanmar,hein Sein ,MMR,President of the Republic of the Union of Myanmar
3873,3873,3873,General debate,A_67_PV.12_E, 2012-09-27 ,Thabane,Lesotho,Thomas Motsoahae  Thabane,LSO,Prime Minister
3874,3874,3874,General debate,A_67_PV.12_E, 2012-09-27 ,Netanyahu,Israel,Binyamin  Netanyahu,ISR,Prime Minister of the State of Israel
3875,3875,3875,General debate,A_67_PV.12_E, 2012-09-27 ,Jansa,Slovenia,Janez  Jansa,SVN,Prime Minister of the Republic of Slovenia
3876,3876,3876,General debate,A_67_PV.12_E, 2012-09-27 ,Abbas,Palestinian Authority,Mahmoud  Abbas,PSE,Chairman of the Executive Committee of the Palestine Liberation Organization and President of the Palestinian Authority
3877,3877,3877,General debate,A_67_PV.12_E, 2012-09-27 ,Fonseca,Cape Verde,Jorge Carlos  Fonseca,CPV,President of the Republic of Cape Verde
3878,3878,3878,General debate,A_67_PV.12_E, 2012-09-27 ,Simpson-Miller,Jamaica,Portia  Simpson-Miller,JAM,Prime Minister of Defence
3879,3879,3879,General debate,A_67_PV.12_E, 2012-09-27 ,Haji Al-Muhtadee Billah,Brunei Darussalam,Crown Prince of Brunei Darussalam  Haji Al-Muhtadee Billah,BRN,was escorted to the rostrum.
3880,3880,3880,General debate,A_67_PV.12_E, 2012-09-27 ,Dhoinine,Comoros,Ikililou  Dhoinine,COM,President of the Union of the Comoros
3881,3881,3881,General debate,A_67_PV.12_E, 2012-09-27 ,Obiang Nguema Mbasogo,Equatorial Guinea,Teodoro  Obiang Nguema Mbasogo,GNQ,President of the Republic of Equatorial Guinea
3884,3884,3884,General debate,A_67_PV.12_E, 2012-09-27 ,Ivanov,The former Yugoslav Republic of Macedonia,Gjorge   Ivanov,The former Yugoslav Republic of Macedonia,President of the former Yugoslav Republic of Macedonia
3885,3885,3885,General debate,A_67_PV.12_E, 2012-09-27 ,Ramotar,Guyana,Donald Rabindranauth  Ramotar,GUY,President of the Republic of Guyana
3886,3886,3886,General debate,A_67_PV.12_E, 2012-09-27 ,Marzouki,Tunisia,Mohamed Moncef  Marzouki,TUN,President of the Republic of Tunisia
3887,3887,3887,General debate,A_67_PV.12_E, 2012-09-27 ,Tsakhia,Mongolia,Elbegdorj  Tsakhia,MNG,President of Mongolia
3888,3888,3888,General debate,A_67_PV.12_E, 2012-09-27 ,Izetbegovic,Bosnia and Herzegovina,Bakir  Izetbegovic,BIH,Chairman of the Presidency of Bosnia and Herzegovina
3865,3865,3865,General debate,A_67_PV.13_E, 2012-09-27 ,Spencer,Antigua and Barbuda,Winston Baldwin  Spencer,ATG,Prime Minister and Minister for Foreign Affairs of Antigua and Barbuda 
3866,3866,3866,General debate,A_67_PV.13_E, 2012-09-27 ,Machar Teny-Dhurgon,South Sudan,Riek  Machar Teny-Dhurgon,SSD,Vice-President of the Republic of South Sudan
3867,3867,3867,General debate,A_67_PV.13_E, 2012-09-27 ,Al-Khuzaie,Iraq,Khudheir Mussa Jafar  Al-Khuzaie,IRQ,Vice-President of the Republic of Iraq
3868,3868,3868,General debate,A_67_PV.13_E, 2012-09-27 ,Faure,Seychelles,Danny  Faure,SYC,Vice-President of the Republic of Seychelles
3869,3869,3869,General debate,A_67_PV.13_E, 2012-09-27 ,Sinunguruza,Burundi,Therence  Sinunguruza,BDI,Vice-President of the Republic of Burundi
3870,3870,3870,General debate,A_67_PV.13_E, 2012-09-27 ,El-Magariaf,Libya,Mohamed Yousef  El-Magariaf,LBY,President of the General National Congress of Libya
3871,3871,3871,General debate,A_67_PV.13_E, 2012-09-27 ,Nishani,Albania,Bujar  Nishani,ALB,President of the Republic of Albania
3872,3872,3872,General debate,A_67_PV.13_E, 2012-09-27 ,Franco Gómez,Paraguay,Luis Federico  Franco Gómez,PRY,President of the Republic of Paraguay
3882,3882,3882,General debate,A_67_PV.13_E, 2012-09-27 ,Waheed,Maldives,Mohamed  Waheed,MDV,President of the Republic of Maldives
3883,3883,3883,General debate,A_67_PV.13_E, 2012-09-27 ,Mori,Micronesia,Emanuel  Mori,FSM,President and Head of Government of the Federated States of Micronesia
3851,3851,3851,General debate,A_67_PV.14_E, 2012-09-27 ,Al-Habib,Iran,Eshagh  Al-Habib,IRN,
3852,3852,3852,General debate,A_67_PV.14_E, 2012-09-27 ,Roncagliolo Orbegoso,Peru,Rafael  Roncagliolo Orbegoso,PER,Minister for Foreign Affairs of the Republic of Peru.Mr. Roncagliolo Orbegoso (Peru) (spoke in Spanish): At the outset
3853,3853,3853,General debate,A_67_PV.14_E, 2012-09-27 ,Lama,Guinea,Edouard Niankoye  Lama,GIN,Minister for Foreign Affairs and for Guineans Living Abroad of the Republic of Guinea.Mr. Lama (Guinea) (spoke in French): On behalf the delegation of Guinea
3854,3854,3854,General debate,A_67_PV.14_E, 2012-09-27 ,Al-Khalifa,Bahrain,Shaikh Khalid Bin Ahmed bin Mohammed   Al-Khalifa,BHR,Minister for Foreign Affairs of the Kingdom of Bahrain.Shaikh Khalid Bin Ahmed Al-Khalifa (Bahrain) (spoke in Arabic): It gives me pleasure to congratulate Mr. Vuk Jeremic on his election as President of the General Assembly at its sixty-seventh session. I am confident that he will successfully manage the session thanks to his competence and his rich and long experience in diplomacy in the service of his friendly country
3855,3855,3855,General debate,A_67_PV.14_E, 2012-09-27 ,Eide,Norway,Espen Barth  Eide,NOR,Minister for Foreign Affairs of the Kingdom of Norway.Mr. Eide (Norway): Leadership is about making choices. It is about the ability to make the right decision at the right moment and to have the stamina to deliver accordingly. It is about the will to help shape the future 30 In Colombia
